App,Category,Rating,Reviews,Size,Price,Content_Rating,Genres,Last_Updated,Installs
5293,25,4,3463,227,78,0,77,545,7383
2362,7,2,0,97,78,0,33,557,6337
4764,20,2,1,89,78,1,66,707,7499
5285,21,4,3844,45,78,1,70,573,7876
2293,29,2,0,31,78,1,103,1106,7369
2835,12,4,1566,384,78,1,55,106,7742
6617,18,4,2730,70,78,1,62,626,4277
696,3,4,3388,31,78,1,18,1190,4969
146,28,3,4510,261,78,0,97,103,4603
6149,8,4,1173,39,78,1,34,582,4574
104,11,4,4581,198,78,1,25,356,7932
1392,29,3,3911,178,78,1,103,1225,5388
3327,6,4,2659,133,78,1,32,614,5439
1719,6,4,3199,60,78,1,32,591,4994
3050,29,4,438,73,78,0,103,839,4906
1303,14,5,3949,45,78,0,6,567,4831
1483,11,4,199,96,78,0,47,665,4593
4625,27,3,2253,264,78,1,96,608,7020
1441,18,2,0,70,78,0,62,518,7742
3478,29,4,3567,51,78,0,103,570,5605
6664,11,3,1370,202,78,0,41,357,5254
7152,14,4,1847,202,78,1,6,1231,6909
2341,15,4,3060,384,78,1,57,644,5028
4972,25,4,1637,135,78,0,77,728,5181
2176,6,2,0,135,78,0,32,1021,7587
5957,11,4,4302,324,78,1,34,704,6225
5178,26,4,3142,134,35,0,91,540,7049
5619,14,4,1011,70,78,1,6,485,7240
103,26,3,3073,39,78,0,91,697,4642
1001,4,4,4025,177,47,0,20,246,7888
1444,20,2,0,174,47,1,66,626,4340
1111,7,3,1368,300,78,0,33,376,6938
1859,11,4,2254,384,69,0,45,884,4500
4525,5,4,1755,87,78,1,31,623,6671
4909,11,4,3445,384,78,0,47,604,5533
7032,11,3,4490,181,78,0,99,733,4872
296,29,3,1540,78,78,0,103,1108,7395
4042,24,4,3815,384,78,1,76,302,6121
1154,2,3,1104,62,78,0,13,522,5633
1647,6,2,1369,5,78,1,32,845,5069
357,4,4,2313,305,78,0,20,139,4443
892,17,4,798,160,78,0,61,383,5246
1210,14,4,1054,140,18,1,24,622,4394
5995,20,2,0,4,35,1,66,67,7272
2129,4,4,1763,300,78,1,20,1114,7818
4524,5,4,26,17,78,1,31,617,4998
499,31,3,1002,6,78,1,108,180,4423
2154,26,4,94,127,78,0,91,106,7579
4738,11,5,359,50,11,0,34,454,4425
5266,11,4,2717,251,78,0,26,697,4151
6756,6,4,586,174,78,1,32,723,6758
5450,11,4,3041,247,78,0,3,604,6949
5914,14,3,407,172,78,1,83,1237,4576
6167,12,4,2104,4,78,1,55,477,5268
4629,23,4,3731,60,78,0,75,522,7094
6092,11,3,2407,384,78,1,41,513,7856
6263,15,5,3275,152,78,0,57,289,5725
6809,20,4,359,174,11,1,66,778,6107
1788,14,4,3732,36,78,1,0,553,5687
5143,14,4,2671,114,78,1,25,614,4768
3854,29,4,3272,211,78,0,103,1100,6361
5282,25,4,1887,384,47,1,77,830,6070
6432,12,4,2365,345,78,1,55,582,5732
2908,11,4,2642,78,78,0,78,19,7535
4669,14,4,3398,11,78,0,97,557,7104
1082,16,4,1783,176,78,1,60,751,7553
5271,29,3,451,17,78,1,103,734,6573
6103,14,4,479,114,78,1,0,106,6141
6381,11,4,667,227,78,0,38,614,7161
1872,6,4,3756,384,78,1,32,139,5455
4802,18,4,3234,21,78,1,62,954,5209
156,14,3,4370,20,78,0,6,216,4832
3042,29,4,1000,46,78,1,103,1175,5819
7090,11,3,150,182,78,0,99,733,5701
30,14,4,2253,131,78,0,0,1192,5272
4384,23,4,3839,338,78,0,75,573,7469
3326,6,4,2312,384,78,0,32,514,7053
3103,29,4,3465,78,78,0,103,708,4710
3745,15,2,2830,310,78,0,57,647,4232
742,28,4,424,342,78,0,97,420,5799
3655,28,4,209,230,78,0,97,674,6213
4308,8,4,3379,177,78,0,34,261,5881
5412,11,4,2714,112,78,1,47,545,5520
3223,11,4,3606,45,78,0,47,883,7282
4475,3,2,1369,263,78,1,18,603,4029
4047,27,4,3847,384,78,1,96,604,5064
3897,14,4,738,324,78,1,6,570,6335
434,24,2,4458,133,35,1,76,1089,7974
5996,25,4,2685,45,78,1,77,560,4348
827,11,4,933,80,78,1,25,604,6132
3105,11,2,1,104,78,0,34,139,5214
1622,11,3,2036,303,78,0,47,636,4019
1598,6,2,2,301,78,1,32,1025,7643
2746,4,4,2,384,78,0,20,73,5947
7203,29,2,0,334,78,1,103,1133,6537
4370,27,4,405,384,78,0,96,139,5537
4760,11,2,2,52,78,1,47,209,4545
4311,11,4,707,137,11,0,69,657,7671
2683,6,2,3275,80,78,0,32,981,4146
7134,6,4,3618,384,78,1,32,549,7646
858,24,2,2806,31,78,0,76,640,4355
659,29,4,3798,75,78,0,103,106,5277
988,25,2,0,36,78,0,77,579,6744
6497,25,2,1,14,35,1,77,708,7562
6623,20,2,4199,384,47,0,66,292,6741
3546,8,4,1134,384,78,0,34,518,6466
6206,13,4,3677,45,78,1,56,525,7875
3458,4,4,1855,20,78,1,20,739,7316
1325,14,2,1,45,78,0,106,739,7146
3294,20,3,1950,373,78,1,66,856,6978
6126,30,4,1188,87,78,1,105,139,4636
924,6,5,1,249,78,0,32,1214,4031
2107,11,5,1577,48,78,1,47,996,5120
2498,29,4,149,384,78,0,103,573,5159
4075,14,2,3643,104,78,1,67,879,6253
4872,28,4,3107,384,78,0,97,139,6778
7124,4,3,1327,133,78,0,20,1003,4675
3545,23,4,1187,214,78,0,75,498,5935
594,23,4,1999,384,78,1,75,180,4317
4137,7,1,4566,45,78,1,33,545,4344
4379,13,3,1089,104,78,1,56,549,4571
3966,24,4,446,305,78,0,76,760,7826
3902,18,2,3800,202,78,0,62,759,6594
3158,25,4,2171,384,78,1,77,1006,4681
5471,11,2,3388,135,78,0,47,409,6416
4382,11,4,1263,351,78,1,30,739,5950
5714,14,4,2297,230,78,1,2,34,4803
5734,15,5,1369,303,78,0,57,623,4861
3951,7,3,118,82,78,1,33,665,7989
1804,7,4,3690,17,78,1,33,604,7965
6009,7,3,3835,258,78,0,33,1027,7263
7116,29,3,1080,384,78,1,103,671,5685
3354,8,4,3500,127,78,0,34,579,4373
135,29,3,2281,262,78,0,103,667,7674
6077,29,4,1394,260,78,0,103,172,7906
4021,25,4,3752,217,78,0,77,209,4278
5305,6,3,643,47,78,1,32,952,5348
7035,1,4,1855,219,78,0,12,138,5814
3430,27,4,1406,222,78,1,96,902,4262
6408,14,4,2196,384,78,0,0,1102,4980
609,14,4,3653,131,78,1,0,617,6536
5229,24,4,736,384,78,0,76,549,5493
6575,21,4,4232,384,78,1,70,887,6250
6941,11,4,2742,36,78,1,47,139,4448
1216,28,4,400,384,78,0,97,557,4468
2241,29,4,465,181,78,0,103,936,7496
6200,5,4,2241,89,78,0,31,604,6749
4030,4,4,1443,17,78,0,20,139,5531
214,13,2,0,82,78,1,56,525,5421
1744,24,4,2231,39,78,1,76,304,6863
4846,29,4,2518,384,78,0,104,107,7391
3653,28,4,1302,333,78,1,97,939,7284
533,30,3,1034,87,78,0,105,532,5504
1887,6,4,2530,82,78,0,32,704,4227
2070,24,4,1774,384,78,0,76,522,7597
2799,29,3,3275,9,78,1,103,275,5545
5149,13,4,54,123,78,0,56,189,5643
2592,23,2,1,100,78,1,75,909,6182
3423,28,4,2868,384,78,0,97,604,6881
5151,11,4,3261,362,78,1,38,518,7188
6348,11,4,2199,80,78,0,26,891,5239
1635,4,2,2806,137,78,0,20,266,6790
592,16,4,2062,384,78,0,60,674,5088
7196,7,3,3338,78,78,1,33,570,4446
2230,11,4,1929,155,62,0,86,850,5598
1042,11,4,1379,263,77,0,86,1091,5853
1345,11,4,799,182,78,1,47,634,7022
5659,11,3,27,384,78,1,47,525,4205
2920,11,4,791,130,78,1,34,1129,6895
1062,28,4,3865,92,78,1,97,987,7767
6768,32,4,1175,93,78,0,111,703,5102
6813,18,4,3029,384,78,1,62,681,5815
341,31,4,4087,384,78,0,108,139,5863
6540,2,4,2919,384,78,1,13,723,5368
2697,11,2,1,89,78,0,47,540,4037
3462,31,3,2808,257,78,0,108,930,5014
6483,11,4,562,375,78,0,84,1133,4539
3200,28,2,1,337,78,1,97,933,4422
4865,12,4,3018,21,78,0,55,92,5086
4674,14,4,1202,383,78,1,0,599,6424
3701,19,4,2261,168,78,0,65,106,6316
4214,6,4,4538,1,30,0,32,321,7334
897,29,2,0,341,78,0,103,595,5400
28,15,4,287,27,78,0,57,139,7144
5886,23,4,3317,384,78,1,75,536,7309
4469,24,4,214,282,78,1,76,172,5533
3260,14,4,1171,27,62,1,94,623,6939
5623,26,4,916,384,78,0,91,189,6599
3989,18,3,2598,8,55,1,62,409,7397
2568,14,4,3774,75,78,1,6,993,7259
1203,11,4,3203,194,78,0,99,106,6911
2648,28,3,4457,136,78,0,97,579,6818
5140,20,4,2253,139,35,0,66,439,6520
6543,25,4,2831,70,78,1,77,1084,5396
6406,29,4,2603,208,78,1,103,939,7828
1633,12,4,2544,78,78,0,55,388,6409
236,12,4,1118,20,78,0,55,172,6047
6512,12,4,3976,184,78,1,55,573,5899
750,11,2,1,130,78,0,92,285,6683
4000,30,4,1232,155,78,0,105,172,6393
2936,29,4,207,78,78,0,103,195,7423
95,31,2,1054,98,78,1,108,567,7010
1737,24,4,1801,384,78,0,76,611,6440
76,14,4,692,194,78,0,97,604,6616
3474,14,4,2749,1,78,1,21,25,7988
3234,11,4,503,236,78,1,101,567,5223
5035,7,4,2139,27,78,1,33,599,4948
1869,20,4,2719,267,78,0,66,522,6172
3822,14,4,442,36,78,0,0,612,6895
7224,14,4,3367,384,78,0,0,979,7503
3940,16,4,2590,384,78,1,60,106,4730
4808,11,3,2806,21,78,0,34,878,6522
2986,11,4,4380,104,78,0,92,326,6979
2975,28,4,3112,62,78,1,97,417,4532
5884,29,4,629,384,78,0,103,941,7619
3132,28,2,0,80,78,1,97,360,4957
967,28,2,0,20,78,0,97,484,7325
4703,11,3,2973,14,78,1,47,57,4201
6820,6,4,3474,89,78,0,32,106,5492
5460,14,4,583,205,78,0,0,106,6961
3672,25,4,4371,384,78,0,77,189,6479
2968,29,4,173,384,78,0,103,692,4245
5810,11,3,1369,114,78,1,92,545,5830
5360,29,3,933,133,78,1,103,195,6587
5481,22,4,3852,60,78,1,71,812,5884
5021,20,4,615,17,78,0,66,887,4884
5387,29,4,1369,100,9,0,103,276,5107
5330,24,4,1978,89,78,0,76,573,7692
3409,28,3,278,384,74,1,97,700,4428
2452,11,3,3521,303,78,0,25,381,7887
2640,31,2,1369,36,78,0,108,641,4856
3803,29,3,427,9,78,1,103,49,4710
5698,29,4,4569,261,78,1,103,516,5916
5575,14,4,2896,31,35,0,0,408,7456
2655,10,5,3949,137,78,1,54,1136,7926
473,3,4,1483,67,78,1,18,641,4655
6140,22,3,69,87,78,0,71,708,6621
583,20,2,3261,75,78,0,66,582,4414
6087,29,4,3556,215,78,0,103,384,7228
3185,28,4,2165,318,78,0,97,139,7069
6537,13,4,2462,116,78,1,56,106,5614
7258,14,3,3226,123,78,0,6,768,7670
1064,28,4,2719,52,78,0,97,130,7889
928,11,4,640,216,78,1,34,941,7011
6946,14,4,3253,260,78,1,106,535,7826
6688,31,4,1317,36,78,1,108,172,4557
4813,11,4,3749,36,78,0,95,561,5846
2702,12,4,129,137,78,0,55,776,5254
6765,32,4,671,308,47,1,111,180,7380
3635,11,4,3857,70,78,0,7,618,5888
333,3,4,212,14,78,0,18,905,6962
3978,23,4,3818,96,78,0,75,957,6216
4825,14,4,786,384,78,1,25,549,4700
2579,10,4,4247,54,78,1,54,933,4557
3180,6,2,1369,39,78,0,32,239,7006
1310,20,2,4163,274,78,1,66,700,7717
5514,11,4,2596,271,78,1,84,553,6735
918,11,3,664,210,78,1,47,118,6814
7064,6,4,2475,303,78,1,32,579,6729
4925,27,2,2253,346,78,0,96,548,7515
3936,9,4,3225,384,78,0,47,172,4300
3008,14,2,3275,384,78,0,2,446,7999
5318,14,4,1988,351,78,0,0,540,6478
465,18,3,3275,342,78,1,62,868,4197
2019,14,4,376,255,78,1,2,428,6043
1140,18,2,2253,127,78,0,62,518,7263
6748,23,4,252,21,78,0,75,909,7336
3215,23,4,373,82,78,0,75,595,6173
2644,12,4,4220,92,78,1,55,396,7316
4697,27,4,1646,384,78,1,96,674,7114
3944,0,4,3603,341,78,1,9,826,5283
7011,6,2,2253,51,78,0,32,195,6755
5341,11,4,1256,139,78,1,34,614,5452
5668,29,3,3864,243,78,0,103,667,7252
3317,7,4,1507,17,78,1,33,604,4677
6299,18,4,1721,316,78,0,62,573,7308
6888,11,4,3750,17,78,1,92,700,4445
1935,11,4,57,27,78,1,47,582,6038
3392,14,4,507,17,78,1,78,9,5148
5415,8,4,1495,384,78,0,34,106,7791
3899,18,4,359,214,78,0,62,366,7858
3738,11,4,2335,116,35,0,99,530,6379
646,15,4,270,178,78,1,57,400,6742
7086,4,2,0,55,78,0,20,634,6984
3059,11,4,3870,342,78,1,47,557,7048
952,23,4,2437,97,78,0,75,1082,4936
1514,25,5,3275,17,78,0,77,939,6311
1550,4,4,1726,53,35,0,20,328,5863
5382,31,2,2381,114,78,1,108,623,7169
2902,27,4,4021,98,78,0,96,1068,7975
4789,25,4,3181,258,78,1,77,1007,4816
3475,12,3,326,78,78,1,55,677,4736
1257,6,3,1458,9,78,0,32,987,5160
1220,8,4,946,21,78,1,34,604,4658
4196,6,4,1811,384,78,1,32,172,6911
3113,12,2,0,346,78,1,55,579,4787
5565,4,4,4017,221,78,1,20,692,5365
2170,30,2,4457,267,78,1,105,95,5292
1717,14,4,2423,14,78,0,0,724,6184
3284,22,4,2762,367,78,1,71,614,4982
3265,18,3,1162,222,78,1,62,1206,7947
327,29,2,0,45,78,1,103,1062,7434
5977,11,4,3555,168,78,1,25,145,5415
3306,29,4,3968,384,78,0,103,464,6962
6885,0,4,4224,96,11,1,9,599,4879
1583,4,4,3950,23,78,0,20,308,6754
847,24,3,3350,8,78,1,76,133,5949
1924,11,3,430,21,78,0,47,179,5236
3591,29,4,1222,384,78,1,103,604,6864
3519,11,4,1477,155,66,1,38,559,5966
2672,11,2,1,21,78,1,47,246,4832
3000,25,4,779,384,78,1,77,172,4963
6621,14,4,2296,336,78,1,6,543,7517
976,19,3,4220,80,78,1,65,428,4654
5313,14,4,111,75,78,0,25,920,4498
2823,29,4,4196,384,78,0,103,181,7353
7177,14,3,2203,45,78,0,6,549,4474
2485,11,4,4246,324,78,1,78,71,5643
2184,29,2,2806,114,78,0,103,587,4627
6055,7,2,3388,23,78,0,33,514,7805
4392,11,4,3914,96,78,1,47,942,4024
365,6,3,145,155,78,0,32,477,7389
5817,26,4,3673,104,78,1,91,567,4383
1228,14,4,3638,263,78,1,78,839,4932
4915,32,4,1706,60,78,1,111,172,4305
4227,14,4,2255,383,78,0,83,821,6257
1895,14,4,600,384,78,1,112,195,7916
2495,29,3,4420,173,78,1,103,641,5020
4786,14,4,3396,51,78,0,6,503,7336
2710,11,4,4326,17,78,0,25,1049,4721
4509,14,4,3354,131,78,1,0,703,5855
1760,24,3,397,222,78,0,76,759,6555
47,0,4,822,127,78,1,9,172,7325
2935,23,4,282,60,78,1,75,557,7177
2703,12,4,2916,96,78,0,55,40,6981
4905,12,4,1772,87,78,0,55,172,4457
224,11,2,1369,39,78,1,47,948,4284
5264,11,4,2841,254,78,1,99,614,5881
4236,11,4,4359,223,62,0,30,205,4364
6594,4,4,4163,384,78,1,20,458,5240
6562,11,4,4534,130,78,1,86,735,6921
7253,29,4,4236,8,78,0,103,891,4694
4761,9,4,3813,31,78,0,47,671,6805
1030,24,4,1446,17,78,1,76,905,4842
4056,7,3,707,82,78,0,33,567,4910
3918,19,4,2467,246,78,1,65,148,5963
1508,4,2,0,39,78,1,20,551,5856
6304,18,4,1426,112,62,0,62,310,7994
3492,27,3,1323,384,78,0,96,207,5419
6387,14,4,3477,131,78,1,0,570,5548
5092,11,2,0,62,0,0,47,536,6263
5827,24,4,4627,213,78,1,76,106,6253
7214,26,2,1,31,78,0,91,760,4011
3708,14,4,250,213,78,1,6,933,6057
6469,16,4,1121,384,78,0,60,570,5792
3626,6,4,2567,384,78,1,32,591,6870
1285,4,4,931,384,78,0,20,604,7937
4360,26,4,2915,80,78,0,91,189,7866
5903,27,4,1056,384,78,0,96,599,4884
6476,9,4,2227,17,78,0,47,532,4746
2117,14,3,2752,134,78,1,0,7,5955
5789,19,4,2178,175,78,0,65,697,4702
4123,20,4,4029,217,78,0,66,297,5575
1625,11,4,3643,174,78,1,34,2,4225
5408,23,4,2865,46,78,1,75,354,6312
7092,12,4,2806,138,78,1,55,883,7363
6997,14,4,70,184,78,0,0,106,7929
4585,20,4,1906,31,78,1,66,920,5035
2809,4,2,2324,198,78,1,20,88,7337
4883,21,3,3761,70,78,0,70,106,4057
92,26,5,1369,55,78,1,91,330,5631
1281,20,2,1,89,78,0,66,1034,7509
6294,11,4,254,168,78,0,92,79,6323
4719,15,2,0,139,66,0,57,1020,5943
5562,4,4,256,384,78,1,20,549,6463
6645,31,4,3861,133,78,0,108,139,7360
2698,18,3,3350,14,78,1,62,265,6862
3424,24,4,3632,384,78,1,76,623,6432
799,12,2,3949,1,78,1,55,382,4974
5781,15,4,2167,70,78,0,57,352,7795
389,7,3,935,99,78,0,33,301,6279
6394,21,2,1369,55,78,0,70,642,6941
4854,25,3,115,181,78,0,77,570,6139
2295,11,4,909,52,78,1,47,644,6164
5170,20,4,496,55,65,0,66,95,4121
8,11,4,125,168,78,1,78,915,7362
6029,15,4,2766,133,78,0,57,617,4598
3786,29,4,3949,135,78,1,103,455,4654
1704,29,2,4457,97,78,0,103,971,7816
2933,29,3,878,134,78,1,103,1174,6224
5446,14,4,4419,123,78,1,67,439,4822
791,27,2,2806,310,78,1,96,795,7312
5827,24,4,4626,213,78,1,76,106,5653
620,14,4,2525,384,78,0,0,189,5758
5894,14,4,3081,195,78,1,0,915,7483
585,29,4,191,384,78,0,103,514,4474
1588,18,4,4243,31,78,1,62,172,7095
5542,29,3,2801,17,78,1,103,251,5608
4947,18,4,986,6,78,0,62,365,7163
2067,14,2,0,384,78,1,0,692,5689
1263,11,4,511,70,30,1,40,261,7446
1677,3,2,0,94,78,1,18,171,4170
1988,11,4,1556,330,78,0,30,139,4811
7072,15,3,151,303,35,0,57,525,5654
5082,11,4,818,155,35,1,86,1022,6202
1200,14,4,317,274,78,0,0,935,4604
2113,29,4,1177,7,78,1,103,120,6425
404,11,3,28,168,78,1,25,641,4808
2187,29,2,0,94,0,1,103,875,6805
1867,11,4,4237,358,78,0,92,599,7644
3566,20,5,1369,75,78,0,66,582,6450
4753,14,3,1152,243,78,0,83,260,5035
7017,29,3,3875,275,78,1,103,338,5855
1456,15,2,0,309,78,1,57,623,4838
1727,15,4,2298,178,78,0,57,162,4071
1085,29,4,1151,384,47,1,103,952,5516
4637,14,4,852,384,78,0,0,661,4469
7023,20,3,4302,93,78,0,66,599,7412
6817,14,4,3583,174,78,1,106,1164,5227
1157,15,4,757,27,78,1,57,579,4487
3581,24,4,1233,21,78,1,76,935,4232
1178,15,4,364,136,78,1,57,180,4149
3882,29,4,2977,384,78,0,103,767,7007
6851,11,4,997,320,78,1,86,139,6776
6303,3,4,269,384,78,0,18,434,4597
5185,20,4,5,98,78,1,66,623,6402
5090,3,4,3389,17,78,0,18,1026,6850
7171,6,4,3832,17,78,1,32,731,6613
5919,14,4,1543,31,78,1,106,915,4900
4888,31,3,682,180,78,1,108,53,4951
6514,6,4,1138,144,78,0,32,139,6418
781,28,2,3778,6,78,0,97,578,7080
5117,24,4,4220,337,78,0,76,286,6385
2195,27,3,3465,98,78,0,96,818,6943
1611,11,3,2487,67,78,0,34,863,7146
4418,11,4,3574,93,78,1,47,451,4768
4787,12,4,1349,258,35,1,55,641,6393
4633,6,4,3519,384,78,1,32,106,4277
2632,25,4,4109,384,78,1,77,619,4369
4720,15,4,452,136,78,1,57,611,4583
4680,24,4,2693,384,78,0,76,809,5134
979,4,4,3181,259,78,1,20,144,4960
2119,14,4,2346,152,78,0,0,1171,6509
2278,29,4,4050,384,78,0,103,843,4771
4318,3,2,1369,60,78,1,18,320,5878
7189,27,4,1450,384,78,1,96,739,5187
152,14,4,4233,82,78,0,0,545,6761
6798,6,4,611,112,78,0,32,599,4731
5352,6,4,2239,384,78,1,32,595,6191
2275,6,4,261,140,78,1,32,0,4679
3192,29,2,1054,248,78,1,103,475,5888
6793,29,4,2934,241,78,1,103,553,4897
2930,20,2,1369,45,0,1,66,31,4662
3391,30,2,199,95,78,1,105,877,7129
3757,11,3,3681,384,78,0,47,549,7230
6847,14,3,2381,82,0,0,6,795,5736
6456,30,4,3236,78,78,1,105,647,4431
5169,8,4,2049,384,78,0,36,172,4826
3905,11,4,1123,45,78,0,25,464,6201
6343,23,2,1369,36,78,0,75,737,7573
6015,2,4,3835,55,78,1,13,92,7981
1151,17,4,2260,62,78,0,61,700,6348
2802,27,4,3525,247,78,0,96,525,4514
2906,30,4,1589,114,78,1,105,95,5863
3505,14,4,2438,75,78,0,24,866,6175
7219,26,4,556,82,78,0,91,560,6948
1847,11,3,237,180,78,1,16,1234,6942
4546,9,3,1979,305,78,0,47,391,4400
2449,11,2,199,220,78,1,34,604,5543
83,20,3,1518,251,49,1,66,1093,5519
7074,23,5,2253,95,78,0,75,102,5143
3931,29,3,3172,46,78,1,103,1160,5954
2688,12,2,4457,99,78,1,55,447,7268
1259,24,4,4464,50,78,1,76,661,6197
5332,20,5,2253,195,78,1,66,525,6251
5427,11,2,1,95,78,1,34,776,6581
5834,29,4,2474,384,34,1,103,332,7398
642,14,3,1790,166,78,1,67,647,4718
2108,3,4,1370,95,78,1,18,732,6599
3115,20,5,1369,2,35,0,66,225,4745
215,19,2,0,82,78,1,65,599,4579
2159,18,4,2448,21,78,0,62,185,7152
7089,4,4,4457,108,78,1,20,760,7340
3613,14,3,1031,172,11,1,6,890,7749
1829,11,2,4457,67,78,1,47,677,4943
2490,29,4,3007,384,78,1,103,173,7068
6,11,4,3896,168,78,0,34,593,4687
2355,11,4,3879,152,78,1,25,641,7896
5207,24,4,3437,161,78,0,76,439,4711
3676,25,4,2054,384,78,0,77,599,5846
3553,32,4,696,384,78,1,111,172,5748
5159,11,4,2806,78,78,1,92,557,4187
6605,29,3,3984,1,78,0,103,466,7324
1559,7,4,3224,144,78,0,33,106,6802
6267,15,2,3275,308,78,0,57,623,5203
6100,11,4,4062,194,78,1,99,139,7506
2153,4,2,0,14,78,1,20,45,4798
6743,20,2,0,223,78,1,66,532,6605
3703,18,3,2744,264,78,1,62,334,7105
5813,14,4,1930,254,78,1,97,920,4890
5027,11,4,1333,330,78,1,92,1138,4822
2217,24,3,3188,174,78,1,76,774,4887
5856,0,4,1534,78,78,0,9,735,6437
2473,23,4,1933,178,78,1,75,1123,4726
6955,23,4,39,97,78,0,75,742,7179
3542,20,2,1369,60,78,1,66,570,7882
1777,23,4,1369,14,78,0,75,630,5541
2438,11,4,246,121,78,1,52,935,7268
5602,6,4,2393,178,78,0,32,287,6309
4572,11,4,2104,70,11,0,38,410,4655
6365,8,4,2823,384,78,1,34,915,6704
838,11,4,129,100,78,0,34,992,4419
4645,25,4,168,384,78,1,77,528,5316
7139,18,4,230,384,78,1,62,570,7483
1893,11,4,1612,375,78,0,99,106,6034
1967,9,4,312,138,78,1,47,444,5546
654,1,4,575,384,78,1,12,172,7519
954,3,2,2253,133,78,0,18,1125,4578
2406,23,4,1100,54,78,0,75,39,4594
1742,24,4,1598,384,78,1,76,106,6571
4877,21,4,1834,384,78,1,70,557,7090
3074,28,4,836,336,78,0,97,195,4094
1215,28,4,1699,112,78,1,97,106,6014
6607,31,3,3508,384,78,0,108,12,6182
539,29,4,1391,55,78,0,103,763,5113
1526,18,4,2203,25,78,1,62,592,6440
7259,13,4,3013,7,78,1,56,105,7094
961,30,2,0,89,78,1,105,902,7885
2413,12,4,4274,67,78,1,55,604,7406
3359,29,4,223,384,78,1,103,271,7749
807,12,4,2487,94,78,1,55,763,7637
6523,11,4,2038,121,78,1,92,297,4128
2227,14,4,2495,168,78,1,0,172,6939
6444,11,4,414,384,78,1,78,915,5263
3762,24,4,2573,133,78,0,76,708,6618
4371,8,4,4214,39,78,0,34,582,5323
294,18,4,18,384,78,1,62,295,7180
1981,11,3,1415,234,78,1,45,838,5240
5709,18,4,2476,127,78,1,62,139,5042
4159,6,4,1902,384,78,0,32,172,4513
5882,26,4,2479,20,78,1,91,599,5173
