loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,loan_status
7625,7625,7625.0,0,16.99,271.82,3,15,8533,10,1,60000.0,0,16,0,5,7,79,33,1,542,1.0,4,1
10000,10000,10000.0,0,9.49,320.29,1,6,4629,8,4,75000.0,1,2,0,1,2,515,13,0,543,1.0,8,1
10000,10000,10000.0,0,12.79,335.93,2,10,134,2,4,66000.0,0,19,0,2,3,54,6,0,585,1.0,9,1
30000,30000,30000.0,1,11.49,659.63,1,9,8798,1,1,61200.0,2,6,0,5,7,730,43,0,212,0.0,8,0
24000,24000,24000.0,0,5.32,722.76,0,0,971,1,1,150000.0,0,13,0,2,3,518,13,0,232,0.0,11,0
22375,22375,22375.0,0,10.75,729.89,1,8,5476,3,4,208000.0,0,0,0,2,3,179,44,0,416,0.0,11,1
8000,8000,8000.0,0,15.59,279.64,2,14,9198,1,1,52000.0,2,9,0,2,3,564,23,1,538,0.0,25,0
22425,22425,22425.0,1,16.02,545.58,2,14,2592,5,1,140000.0,1,20,0,3,6,456,47,0,491,2.0,14,0
16000,16000,16000.0,0,11.49,527.55,1,9,646,1,4,82000.0,2,9,0,2,3,437,21,0,581,1.0,12,1
15000,15000,14950.0,0,16.29,529.51,3,15,12878,10,4,80000.0,0,13,0,1,2,663,42,1,497,0.0,11,0
20000,20000,20000.0,0,14.08,684.33,2,12,14672,11,1,32224.0,2,16,0,2,3,658,42,0,334,0.0,9,1
12000,12000,12000.0,0,5.32,361.38,0,0,9962,5,3,80000.0,0,13,0,5,7,240,26,1,68,0.0,12,1
6000,6000,6000.0,0,5.32,180.69,0,0,9996,8,1,63000.0,1,1,0,1,2,737,3,0,392,0.0,10,1
20000,20000,20000.0,0,11.47,659.24,1,9,7773,0,1,53000.0,2,13,0,2,12,152,37,0,91,0.0,3,1
18000,18000,18000.0,1,13.99,418.74,2,12,7334,0,4,65000.0,1,14,0,1,2,786,4,0,585,0.0,12,1
24000,24000,24000.0,0,10.91,784.71,1,8,116,3,1,120000.0,1,3,0,8,10,290,9,0,237,0.0,33,1
17150,17150,17150.0,0,21.49,650.46,3,19,8533,7,4,43000.0,2,18,0,1,2,818,4,1,585,0.0,7,0
15200,15200,15200.0,0,7.24,471.01,0,2,4030,5,3,71000.0,0,18,0,1,2,29,20,0,421,0.0,15,0
5000,5000,5000.0,0,8.24,157.24,1,5,4609,8,4,28000.0,0,17,0,1,2,288,9,0,534,0.0,7,1
9000,9000,9000.0,0,16.99,320.83,3,15,13422,2,4,50000.0,0,18,0,2,3,57,30,0,384,0.0,3,1
10000,10000,10000.0,0,12.74,335.69,2,10,270,10,3,30000.0,1,17,0,1,2,660,42,0,101,1.0,6,0
11200,11200,11200.0,1,13.59,258.23,2,11,3661,1,3,108000.0,0,10,0,1,2,83,33,0,583,1.0,8,1
10000,10000,10000.0,0,22.74,385.75,4,20,1757,10,1,55000.0,1,6,0,8,10,678,42,1,345,1.0,11,1
20000,20000,20000.0,1,11.99,444.79,1,9,7778,4,1,130000.0,0,20,0,10,0,241,26,2,572,1.0,18,1
9800,9800,9800.0,0,7.97,306.97,0,4,14672,11,4,46000.0,1,3,0,1,2,764,4,0,242,0.0,11,1
12000,12000,12000.0,0,16.02,422.01,2,14,3741,10,3,60000.0,1,16,0,2,3,416,14,0,447,0.0,7,0
40000,40000,40000.0,0,7.39,1242.23,0,3,8150,6,1,500000.0,2,13,0,2,3,663,42,0,117,1.0,19,1
12000,12000,12000.0,1,22.91,337.67,4,20,8798,1,1,185000.0,1,16,0,3,6,63,30,0,142,0.0,19,1
15000,15000,15000.0,0,14.08,513.25,2,12,1359,2,3,72800.0,0,16,0,2,3,98,33,0,137,0.0,15,1
6250,6250,6250.0,0,12.79,209.96,2,10,848,1,1,82000.0,1,19,0,3,6,287,9,2,585,0.0,8,1
9800,9800,9800.0,0,12.74,328.98,2,10,14672,11,4,35000.0,1,1,0,2,3,308,9,0,423,0.0,19,0
20000,20000,20000.0,1,11.47,439.56,1,9,10023,10,1,70000.0,0,11,0,2,12,58,30,0,580,0.0,8,0
11000,11000,11000.0,0,13.67,374.2,2,12,14672,11,1,30000.0,2,11,0,2,3,433,21,0,83,0.0,9,1
40000,40000,40000.0,1,13.99,930.53,2,12,7076,4,1,124000.0,1,18,0,2,3,747,31,0,387,0.0,9,1
4000,4000,4000.0,0,13.49,135.73,2,11,11636,4,4,25000.0,1,6,0,2,3,810,4,1,438,0.0,22,0
16000,16000,16000.0,1,11.99,355.84,1,9,5808,10,3,69000.0,2,10,0,1,2,313,1,0,437,1.0,12,0
25000,25000,24750.0,0,16.02,879.18,2,14,3670,10,1,65000.0,0,20,0,2,3,404,34,0,37,0.0,10,1
3100,3100,3100.0,0,15.31,107.94,2,14,13620,1,4,20000.0,0,15,0,2,3,18,38,0,183,0.0,10,0
20000,20000,20000.0,0,7.49,622.04,0,3,790,8,4,111000.0,0,8,0,1,2,3,18,0,91,1.0,9,0
2500,2500,2500.0,0,12.74,83.93,2,10,1359,2,1,20000.0,1,8,0,2,3,782,4,0,288,0.0,5,1
23000,23000,23000.0,0,15.59,803.97,2,14,14388,7,3,78000.0,1,2,0,2,3,470,47,0,290,0.0,7,0
21000,21000,21000.0,0,11.49,692.4,1,9,11972,2,1,130000.0,1,4,0,2,3,170,37,0,433,1.0,9,1
12000,12000,12000.0,0,8.39,378.2,1,5,1142,7,1,40000.0,1,15,0,2,3,309,9,0,569,0.0,10,1
1500,1500,1500.0,0,13.49,50.9,2,11,4985,1,4,62000.0,2,14,0,2,3,296,9,0,530,0.0,11,0
5000,5000,5000.0,0,15.99,175.77,2,14,14672,11,4,40044.0,2,4,0,2,3,771,4,0,519,0.0,6,0
22500,22500,22500.0,1,12.99,511.83,2,11,11928,1,1,75000.0,0,13,0,2,3,66,30,0,570,0.0,12,0
19750,19750,19750.0,1,23.13,558.24,5,25,14516,7,1,52000.0,2,13,0,2,3,240,26,0,82,0.0,4,0
20000,20000,20000.0,0,13.49,678.61,2,11,10940,0,4,105000.0,2,9,0,1,2,57,30,0,42,0.0,18,1
11975,11975,11675.0,0,11.49,394.84,1,9,2650,10,4,39000.0,1,16,0,1,2,437,21,0,95,0.0,17,0
8000,8000,8000.0,0,14.49,275.33,2,13,14425,10,4,31000.0,1,2,0,2,3,663,42,0,543,1.0,7,0
25000,25000,25000.0,0,6.99,771.82,0,1,14672,11,1,76320.0,2,18,0,3,6,203,44,0,178,2.0,8,0
16000,16000,16000.0,1,15.05,381.06,2,13,14672,11,4,35000.0,0,20,0,2,3,765,4,0,494,2.0,18,1
8000,8000,8000.0,0,8.39,252.14,1,5,4364,1,1,104800.0,1,5,0,2,3,679,42,2,519,0.0,15,0
5000,5000,5000.0,0,18.06,180.92,3,16,6285,7,3,55000.0,1,16,0,3,6,416,14,0,138,2.0,11,1
18000,18000,18000.0,1,7.39,359.75,0,3,7265,1,1,175000.0,1,11,0,3,6,94,33,0,524,0.0,9,1
9600,9600,9600.0,0,16.02,337.61,2,14,12658,2,1,220000.0,2,20,0,5,7,171,37,1,530,1.0,14,0
8000,8000,8000.0,0,8.59,252.88,0,4,7891,1,1,75000.0,0,18,0,1,2,74,30,0,466,0.0,7,0
23500,23500,23475.0,0,10.99,769.25,1,8,13999,1,3,47000.0,0,2,0,1,2,663,42,0,36,0.0,14,0
6500,6500,6500.0,0,12.62,217.83,2,10,7891,1,3,65000.0,0,3,0,1,2,66,30,0,85,0.0,15,1
14000,14000,14000.0,0,13.99,478.42,2,12,7764,3,4,51500.0,2,18,0,2,3,829,36,0,538,0.0,21,1
35000,35000,35000.0,1,28.34,1096.95,6,32,9320,1,1,100000.0,2,15,0,1,2,75,30,0,406,2.0,21,1
6400,6400,6400.0,0,7.39,198.76,0,3,9499,2,4,70000.0,2,11,0,1,2,734,3,0,296,1.0,9,0
16000,16000,16000.0,0,14.49,550.66,2,13,10539,0,1,140000.0,1,9,0,2,3,84,33,0,233,1.0,17,0
5125,5125,5125.0,0,12.99,172.66,2,11,4323,5,1,24000.0,2,5,0,2,12,473,22,0,48,0.0,6,1
10850,10850,10850.0,1,25.82,323.7,4,23,6639,1,3,60000.0,2,10,0,5,7,4,18,0,338,3.0,29,1
11200,11200,11000.0,1,24.11,322.92,5,26,10522,1,1,128000.0,0,13,0,2,3,518,13,0,376,3.0,13,0
10175,10175,10175.0,0,7.49,316.46,0,3,1790,7,1,21240.0,0,7,0,1,2,433,21,0,89,1.0,13,0
7100,7100,7100.0,0,11.47,234.03,1,9,5563,2,1,38000.0,1,13,0,1,2,428,14,0,44,0.0,14,0
3500,3500,3500.0,0,13.49,118.76,2,11,10441,2,1,235000.0,2,19,0,2,3,207,44,0,240,0.0,20,1
4800,4800,4800.0,0,11.49,158.27,1,9,6299,1,4,67000.0,2,19,0,2,3,518,13,0,239,1.0,6,1
20000,20000,20000.0,0,9.8,643.47,1,7,5138,1,1,55000.0,1,7,0,8,10,184,19,0,573,0.0,11,1
16000,16000,16000.0,0,5.32,481.84,0,0,3256,4,1,110000.0,0,13,0,1,2,679,42,0,386,0.0,7,1
21000,21000,21000.0,1,12.74,475.03,2,10,14672,11,2,15600.0,0,1,0,2,3,781,4,0,568,0.0,8,0
3000,3000,3000.0,0,10.91,98.09,1,8,10185,9,4,22000.0,2,10,0,8,10,75,30,0,249,1.0,5,1
10800,10800,10800.0,0,6.99,333.43,0,2,7648,5,1,48000.0,0,5,0,1,2,436,21,0,328,0.0,15,1
30000,30000,30000.0,0,11.47,988.86,1,9,6766,1,1,187000.0,1,0,0,2,3,790,4,2,140,0.0,10,1
21650,21650,21650.0,1,30.99,713.68,6,34,6766,8,4,57000.0,1,12,0,2,3,692,5,0,389,2.0,9,1
21000,21000,21000.0,1,12.74,475.03,2,10,4901,1,1,75000.0,0,1,0,3,6,245,26,0,421,0.0,8,1
25000,25000,25000.0,1,11.44,549.07,1,8,4038,1,1,91000.0,1,1,0,2,3,840,46,0,534,1.0,13,0
5000,5000,5000.0,0,6.99,154.37,0,1,6646,2,0,100000.0,0,4,0,10,0,679,42,0,35,1.0,12,1
8400,8400,8400.0,0,13.49,285.02,2,11,8300,6,3,70000.0,1,14,0,10,0,787,4,0,44,2.0,11,1
7000,7000,7000.0,0,10.49,227.49,1,7,2765,4,4,30000.0,0,18,0,1,2,688,42,0,298,3.0,10,0
16000,16000,16000.0,0,14.99,554.57,2,13,11084,1,3,83000.0,1,18,0,2,3,524,13,0,236,0.0,12,0
16550,16550,16550.0,0,17.99,598.24,3,16,14672,11,1,36000.0,0,18,0,2,3,832,36,0,261,1.0,15,1
7200,7200,7200.0,0,8.59,227.59,0,4,4442,1,1,190000.0,1,19,0,1,2,363,16,0,526,3.0,23,1
2200,2200,2200.0,0,7.99,68.93,0,4,4894,10,1,130000.0,0,6,0,2,3,512,25,1,173,0.0,11,0
28800,28800,28600.0,0,12.99,970.25,2,11,3177,9,3,72000.0,0,13,0,2,3,119,33,3,460,0.0,14,0
10000,10000,10000.0,0,13.49,339.31,2,11,2450,1,4,90000.0,2,11,0,2,12,573,15,0,45,1.0,10,1
10000,10000,10000.0,0,10.99,327.34,1,8,14186,8,3,60000.0,1,9,0,1,2,285,9,1,39,1.0,13,1
25000,25000,25000.0,0,15.05,867.25,2,13,9834,3,1,110000.0,0,10,0,2,3,758,32,0,338,1.0,25,1
9975,9975,9975.0,0,16.29,352.13,3,15,6013,8,1,111600.0,1,0,0,2,3,837,46,0,234,1.0,25,0
15000,15000,15000.0,0,12.99,505.34,2,11,618,6,4,42000.0,2,5,0,2,3,63,30,0,542,2.0,7,0
12000,12000,12000.0,0,9.8,386.09,1,7,11319,1,1,97200.0,1,7,0,1,2,692,5,1,229,0.0,17,0
31000,31000,31000.0,0,8.59,979.89,0,4,10305,5,4,93000.0,1,19,0,2,3,517,13,0,125,0.0,9,0
15000,15000,15000.0,0,14.46,516.03,2,13,14376,8,4,120000.0,0,0,0,1,2,99,33,0,479,1.0,13,0
16000,16000,16000.0,0,12.74,537.11,2,10,203,7,4,47800.0,2,6,0,2,3,331,41,0,338,1.0,15,0
14400,14400,14400.0,1,13.59,332.01,2,11,14672,11,1,70944.0,2,20,0,2,3,811,4,0,265,1.0,13,1
40000,40000,40000.0,1,10.49,859.56,1,7,12658,2,1,375000.0,2,2,0,1,2,81,33,0,284,0.0,9,1
12075,12075,12075.0,1,17.99,306.56,3,16,9198,9,1,68640.0,1,9,0,3,6,240,26,2,565,0.0,13,0
4800,4800,4800.0,0,12.74,161.14,2,10,1642,7,3,28000.0,2,17,0,2,3,135,37,0,583,0.0,7,0
16400,16400,16400.0,0,20.75,615.77,4,21,7669,0,3,50000.0,2,13,0,2,3,515,13,0,142,2.0,28,1
20000,20000,20000.0,1,16.99,496.95,3,15,11846,1,1,52000.0,2,1,0,3,6,658,42,0,278,0.0,9,1
3000,3000,3000.0,0,6.99,92.62,0,1,7757,0,1,60000.0,1,14,0,8,10,189,19,0,584,0.0,16,1
8000,8000,8000.0,0,9.44,256.04,1,5,3092,7,4,153000.0,1,20,0,5,7,779,4,0,579,0.0,14,1
33600,33600,33600.0,0,7.89,1051.2,0,4,12158,2,1,122000.0,1,13,0,1,2,470,47,0,134,1.0,25,1
12000,12000,12000.0,0,11.49,395.66,1,9,8160,5,3,85000.0,2,19,0,1,2,298,9,0,392,0.0,11,1
14000,14000,14000.0,0,12.62,469.16,2,10,4996,6,1,105000.0,1,10,0,8,10,179,44,1,580,0.0,9,1
21000,21000,21000.0,0,8.59,663.8,0,4,3394,2,3,50000.0,0,9,0,3,6,321,1,0,574,0.0,15,1
16000,16000,16000.0,1,7.39,319.78,0,3,4030,6,1,125000.0,0,15,0,2,3,67,30,0,584,0.0,4,0
4000,4000,4000.0,0,7.99,125.33,0,4,11983,2,1,83253.0,0,1,0,3,6,736,3,0,339,0.0,9,0
20000,20000,20000.0,0,12.79,671.86,2,10,7648,6,4,58500.0,0,19,0,2,3,54,6,0,488,0.0,23,0
5000,5000,5000.0,0,5.32,150.58,0,0,6448,1,1,75000.0,0,11,0,2,3,697,5,0,128,0.0,9,1
1500,1500,1500.0,0,11.99,49.82,1,9,11928,1,4,64000.0,0,16,0,8,10,847,46,0,93,1.0,21,0
5000,5000,5000.0,0,9.93,161.18,1,6,6879,5,4,45000.0,1,10,0,1,2,298,9,0,386,0.0,4,1
20000,20000,20000.0,1,15.59,482.02,2,14,14672,11,1,53000.0,0,19,0,2,3,298,9,0,328,0.0,15,0
5000,5000,5000.0,0,9.49,160.15,1,6,6670,0,1,60000.0,1,18,0,2,3,460,47,0,582,0.0,7,1
10000,10000,9750.0,0,6.97,308.64,0,2,13053,1,4,60000.0,0,15,0,2,3,320,1,0,181,0.0,12,1
30000,30000,30000.0,1,9.16,625.09,1,6,9499,3,1,114000.0,2,5,0,2,3,553,23,0,487,1.0,14,0
10000,10000,10000.0,0,5.32,301.15,0,0,11907,1,1,160000.0,0,11,0,2,3,785,4,1,433,0.0,11,0
11200,11200,11200.0,1,7.99,227.05,0,4,2075,9,1,110000.0,1,1,0,3,6,399,34,0,332,0.0,16,1
13000,13000,13000.0,0,12.74,436.4,2,10,4364,6,3,50000.0,1,18,0,1,2,186,19,0,381,0.0,7,0
22500,22500,22500.0,1,25.49,666.89,4,23,10713,7,4,45000.0,0,4,0,2,3,79,33,0,93,1.0,10,0
6000,6000,6000.0,0,16.99,213.89,3,15,8447,1,1,85000.0,0,9,0,8,10,51,6,2,79,0.0,12,1
12000,12000,12000.0,0,9.93,386.82,1,6,7757,1,3,60000.0,0,16,0,1,2,312,1,0,143,1.0,18,1
30000,30000,29975.0,1,13.44,689.37,2,12,3502,1,1,150000.0,1,7,0,2,3,240,26,0,34,0.0,16,0
15000,15000,15000.0,0,14.49,516.25,2,13,5529,9,4,105000.0,1,2,0,0,1,59,30,2,91,0.0,12,1
32000,32000,32000.0,1,14.46,752.24,2,13,8905,10,1,114500.0,1,13,0,2,3,515,13,0,232,2.0,13,0
22000,22000,22000.0,1,19.99,582.75,4,20,14672,11,1,64800.0,2,15,0,1,2,445,21,0,568,0.0,11,1
35000,35000,35000.0,1,15.05,833.57,2,13,11011,3,4,188000.0,1,16,0,1,2,664,42,0,239,0.0,14,1
37800,37800,37800.0,1,10.42,810.98,1,7,13637,1,1,68000.0,2,10,0,2,3,626,35,0,333,0.0,8,1
9500,9500,9500.0,0,11.44,313.01,1,8,12362,3,1,59000.0,2,14,0,2,3,471,22,0,96,0.0,10,1
10025,10025,10025.0,1,14.08,233.69,2,12,13745,8,4,30000.0,0,16,0,2,3,384,34,0,95,1.0,6,1
6000,6000,6000.0,0,16.99,213.89,3,15,1631,2,1,22000.0,1,2,0,2,3,266,10,0,98,0.0,7,0
4000,4000,4000.0,0,5.32,120.46,0,0,12172,1,1,102000.0,1,6,0,1,2,104,33,0,35,0.0,3,0
23800,23800,23800.0,1,12.79,538.97,2,10,2409,2,1,40000.0,2,19,0,2,3,434,21,0,240,0.0,13,0
20000,20000,20000.0,0,9.16,637.49,1,6,8905,10,4,150000.0,0,13,0,2,3,90,33,0,568,0.0,12,1
7000,7000,7000.0,0,13.99,239.21,2,12,14672,11,3,72000.0,0,18,0,2,3,265,10,1,111,0.0,20,1
8500,8500,8500.0,0,10.42,275.96,1,7,535,5,4,58384.0,1,3,0,2,3,100,33,1,96,0.0,14,0
11000,11000,10750.0,0,9.16,350.62,1,6,1772,1,1,34035.0,1,15,0,2,3,166,37,1,574,0.0,12,1
20000,20000,20000.0,1,13.49,460.1,2,11,12755,1,1,64000.0,0,17,0,1,2,471,22,0,280,1.0,8,0
18000,18000,18000.0,0,17.99,650.66,3,16,6727,10,1,60000.0,2,6,0,2,3,422,14,0,133,0.0,12,1
20000,20000,20000.0,0,8.49,631.26,1,5,3608,5,1,150000.0,2,7,0,1,2,181,19,4,280,0.0,13,0
12000,12000,12000.0,0,5.32,361.38,0,0,11194,10,1,131000.0,0,3,0,3,6,119,33,0,162,0.0,16,1
15000,15000,15000.0,0,7.99,469.98,0,3,12709,4,3,255000.0,1,18,0,1,2,96,33,1,177,1.0,18,0
10000,10000,10000.0,0,18.99,366.51,3,18,11928,4,3,60000.0,1,0,0,2,3,51,6,3,386,0.0,19,1
17300,17300,17050.0,1,25.69,514.8,5,25,13633,4,1,50400.0,1,18,0,2,3,787,4,0,94,1.0,11,0
2000,2000,2000.0,0,10.49,65.0,1,6,10125,1,3,56160.0,1,17,0,1,2,549,23,1,425,0.0,12,1
24000,24000,24000.0,1,13.67,554.35,2,12,4894,7,4,87600.0,2,15,0,2,3,809,4,0,478,0.0,18,1
35000,35000,35000.0,1,22.39,974.44,4,20,6098,9,3,900000.0,1,2,0,2,3,94,33,8,373,0.0,16,1
9600,9600,9600.0,0,19.99,356.73,3,18,10974,1,1,103000.0,2,14,0,2,3,285,9,0,86,0.0,21,0
6625,6625,6625.0,0,10.75,216.12,1,8,13220,2,4,24640.0,1,15,0,2,3,789,4,0,248,0.0,4,1
12000,12000,12000.0,1,13.99,279.16,2,12,8262,1,1,54704.0,0,8,0,0,1,98,33,0,580,0.0,8,1
11200,11200,11200.0,0,17.99,404.86,3,16,3741,6,1,106000.0,0,19,0,2,3,501,27,0,94,1.0,15,0
2000,2000,2000.0,0,8.99,63.6,1,5,2895,0,1,30000.0,1,18,0,6,8,558,23,0,340,1.0,11,0
15000,15000,15000.0,1,23.13,423.98,5,26,14672,11,1,50000.0,2,7,0,2,3,696,5,0,292,0.0,8,1
10000,10000,10000.0,0,12.62,335.12,2,10,1708,8,4,60000.0,1,10,0,2,3,625,2,0,395,0.0,7,0
25000,25000,25000.0,0,7.24,774.68,0,2,6470,1,3,100000.0,2,8,0,1,2,587,28,0,72,2.0,12,1
20000,20000,20000.0,1,14.08,466.2,2,12,13650,1,1,65000.0,0,3,0,2,3,272,10,0,379,0.0,13,0
7000,7000,7000.0,0,9.44,224.04,1,5,6273,3,1,47000.0,2,20,0,1,2,111,33,0,374,0.0,10,1
6300,6300,6300.0,0,11.48,207.69,1,9,7251,1,4,85000.0,2,5,0,2,3,794,4,4,577,1.0,9,1
19200,19200,19200.0,0,9.49,614.95,1,6,13804,1,1,86000.0,0,2,0,2,3,518,13,1,112,0.0,23,1
12000,12000,12000.0,0,5.32,361.38,0,0,11928,1,1,82000.0,1,3,0,5,7,763,32,0,334,0.0,16,1
36000,36000,36000.0,1,10.42,772.36,1,7,8905,6,4,130000.0,1,10,0,5,7,296,9,1,193,0.0,10,0
7200,7200,7200.0,0,9.93,232.09,1,6,5122,7,3,49000.0,1,16,0,2,3,691,42,0,98,0.0,22,0
18000,18000,18000.0,1,15.05,428.7,2,13,1553,1,4,55000.0,2,12,0,2,3,70,30,0,437,1.0,16,0
32000,32000,32000.0,0,13.59,1087.33,2,11,7678,9,4,99000.0,2,16,0,2,3,672,42,0,242,2.0,28,0
20000,20000,20000.0,1,16.02,486.58,2,14,263,5,3,60000.0,0,10,0,2,3,58,30,0,24,1.0,18,0
10000,10000,10000.0,0,5.32,301.15,0,0,11263,1,1,170000.0,0,7,0,0,1,292,9,0,291,0.0,9,0
6000,6000,6000.0,0,11.49,197.83,1,9,10719,5,4,70000.0,2,2,0,2,3,836,46,0,539,0.0,6,0
15000,15000,15000.0,0,11.99,498.15,1,9,7732,1,1,60000.0,1,3,0,8,10,309,9,0,90,0.0,12,1
2000,2000,2000.0,0,11.44,65.9,1,8,6639,9,1,40000.0,1,8,0,1,2,420,14,0,291,0.0,7,1
9600,9600,9600.0,0,10.42,311.67,1,7,7891,1,1,50000.0,0,3,0,2,3,440,21,1,435,0.0,13,0
6000,6000,6000.0,0,11.49,197.83,1,9,10752,2,4,50000.0,2,8,0,2,3,779,4,0,531,0.0,6,0
30000,30000,30000.0,0,9.75,964.5,1,7,9422,2,4,137000.0,2,5,0,1,2,29,20,0,378,0.0,10,0
22000,22000,22000.0,1,15.59,530.22,2,14,5030,1,1,46439.0,2,11,0,2,3,309,9,0,394,0.0,7,1
35000,35000,35000.0,1,24.85,1024.23,4,22,11399,1,1,83000.0,2,20,0,1,2,190,19,0,289,0.0,13,0
3000,3000,3000.0,0,9.44,96.02,1,5,8895,4,1,165000.0,0,20,0,3,6,96,33,0,242,1.0,6,1
7925,7925,7925.0,0,16.02,278.7,2,14,9198,1,1,100000.0,2,20,0,8,10,8,18,0,133,0.0,5,1
15000,15000,15000.0,1,8.59,308.4,0,4,8905,9,1,95000.0,0,2,0,1,2,665,42,0,184,0.0,16,0
28150,28150,28150.0,1,14.99,669.54,2,13,8905,6,3,125000.0,1,4,0,3,6,599,17,0,538,0.0,12,0
15000,15000,15000.0,1,14.46,352.62,2,13,10222,9,1,71000.0,2,11,0,2,3,520,13,0,538,0.0,11,1
23000,23000,23000.0,0,9.75,739.45,1,7,11738,1,4,50000.0,0,5,0,2,3,817,4,0,336,0.0,10,1
10000,10000,10000.0,0,16.29,353.01,3,15,5708,4,4,42207.0,1,15,0,2,3,424,14,0,379,1.0,8,1
18000,18000,18000.0,0,7.91,563.31,0,4,14672,11,1,51178.8,2,7,0,2,3,678,42,0,137,0.0,12,0
15000,15000,15000.0,0,11.39,493.86,1,7,9405,6,1,95000.0,2,4,0,2,3,295,9,3,91,3.0,16,0
22800,22800,22800.0,0,11.49,751.75,1,9,7891,0,4,80000.0,1,4,0,2,3,515,13,0,384,0.0,8,0
32450,32450,32400.0,0,10.49,1054.56,1,6,969,0,4,180000.0,2,8,0,2,3,182,19,1,529,0.0,15,0
